Dates worked,Day of Week,Hours,Hourly,Total Hourly,Tip out,Online Tips,Sum of Tips,Total of the Night,$ per Hour,Tips per Hour,Cumulative,Total with taxes,Cumulative with taxes,Cumulative Lost From Taxes,Days Worked,Avg Money,Cumulative Tips,Estimated Check,Weekly tips,Week Total,,Total Hourly,Total Tip Out,Total Online Tips
6/18/2024,2,4.09,$15.00,$61.35,$10.00,$23.00,$33.00,$94.35,$23.07,$8.07,"$4,043.85",$83.52,"$3,638.81",$405.04,38,$106.42,"$1,749.00",,,,,,,
6/19/2024,3,3.97,$15.00,$59.55,$30.00,$7.00,$37.00,$96.55,$24.32,$9.32,"$4,140.40",$86.04,"$3,724.85",$415.55,39,$106.16,"$1,786.00",$154.16,$141.00,$295.16,,,,
6/24/2024,1,4.47,$15.00,$67.05,$42.00,$28.00,$70.00,$137.05,$30.66,$15.66,"$4,277.45",$125.22,"$3,850.06",$427.38,40,$106.94,"$1,856.00",,,,,,,
6/25/2024,2,4.35,$15.00,$65.25,$32.00,$27.00,$59.00,$124.25,$28.56,$13.56,"$4,401.70",$112.73,"$3,962.80",$438.90,41,$107.36,"$1,915.00",,,,,,,
6/26/2024,3,3.93,$15.00,$58.95,$34.00,$15.00,$49.00,$107.95,$27.47,$12.47,"$4,509.65",$97.55,"$4,060.34",$449.30,42,$107.37,"$1,964.00",$157.49,$178.00,$335.49,,,,
7/1/2024,1,4.41,$15.00,$66.15,$57.00,$65.00,$122.00,$188.15,$42.66,$27.66,"$4,697.80",$176.47,"$4,236.82",$460.98,43,$109.25,"$2,086.00",,,,,,,
7/2/2024,2,4.61,$15.00,$69.15,$40.00,$44.00,$84.00,$153.15,$33.22,$18.22,"$4,850.95",$140.95,"$4,377.76",$473.19,44,$110.25,"$2,170.00",,,,,,,
7/3/2024,3,4.27,$15.00,$64.05,$65.00,$40.00,$105.00,$169.05,$39.59,$24.59,"$5,020.00",$157.75,"$4,535.51",$484.49,45,$111.56,"$2,275.00",,,,,,,
7/4/2024,4,4.92,$15.00,$73.80,$60.00,$0.00,$60.00,$133.80,$27.20,$12.20,"$5,153.80",$120.77,"$4,656.28",$497.52,46,$112.04,"$2,335.00",$224.94,$371.00,$595.94,,,,
7/8/2024,1,4.07,$15.00,$61.05,$40.00,$34.00,$74.00,$135.05,$33.18,$18.18,"$5,288.85",$124.27,"$4,780.56",$508.29,47,$112.53,"$2,409.00",,,,,,,
7/9/2024,2,4.18,$15.00,$62.70,$32.00,$0.00,$32.00,$94.70,$22.66,$7.66,"$5,383.55",$83.63,"$4,864.19",$519.36,48,$112.16,"$2,441.00",,,,,,,
7/10/2024,3,4.42,$15.00,$66.30,$65.00,$10.00,$75.00,$141.30,$31.97,$16.97,"$5,524.85",$129.60,"$4,993.79",$531.06,49,$112.75,"$2,516.00",$156.51,$181.00,$337.51,,,,
7/15/2024,1,4.12,$15.00,$61.80,$44.00,$26.00,$70.00,$131.80,$31.99,$16.99,"$5,656.65",$120.89,"$5,114.68",$541.97,50,$113.13,"$2,586.00",,,,,,,
7/16/2024,2,4.42,$15.00,$66.30,$46.00,$38.00,$84.00,$150.30,$34.00,$19.00,"$5,806.95",$138.60,"$5,253.28",$553.67,51,$113.86,"$2,670.00",,,,,,,
7/17/2024,3,4.15,$15.00,$62.25,$44.00,$5.00,$49.00,$111.25,$26.81,$11.81,"$5,918.20",$100.26,"$5,353.54",$564.66,52,$113.81,"$2,719.00",$156.75,$203.00,$359.75,,,,
7/22/2024,1,4.12,$15.00,$61.80,$22.00,$10.00,$32.00,$93.80,$22.77,$7.77,"$6,012.00",$82.89,"$5,436.43",$575.56,53,$113.43,"$2,751.00",,,,,,,
7/23/2024,2,4.04,$15.00,$60.60,$32.00,$45.00,$77.00,$137.60,$34.06,$19.06,"$6,149.60",$126.90,"$5,563.34",$586.26,54,$113.88,"$2,828.00",,,,,,,
7/24/2024,3,4.11,$15.00,$61.65,$34.00,$11.00,$45.00,$106.65,$25.95,$10.95,"$6,256.25",$95.77,"$5,659.11",$597.14,55,$113.75,"$2,873.00",$151.57,$154.00,$305.57,,,,
7/29/2024,1,4.15,$15.00,$62.25,$40.00,$20.00,$60.00,$122.25,$29.46,$14.46,"$6,378.50",$111.26,"$5,770.37",$608.13,56,$113.90,"$2,933.00",,,,,,,
7/30/2024,2,4.2,$15.00,$63.00,$10.00,$14.00,$24.00,$87.00,$20.71,$5.71,"$6,465.50",$75.88,"$5,846.25",$619.25,57,$113.43,"$2,957.00",,,,,,,
7/31/2024,3,4.27,$15.00,$64.05,$26.00,$12.00,$38.00,$102.05,$23.90,$8.90,"$6,567.55",$90.75,"$5,936.99",$630.55,58,$113.23,"$2,995.00",$155.89,$122.00,$277.89,,,,
8/6/2024,2,3.77,$15.00,$56.55,$28.00,$13.00,$41.00,$97.55,$25.88,$10.88,"$6,665.10",$87.57,"$6,024.56",$640.53,59,$112.97,"$3,036.00",,,,,,,
8/7/2024,3,4.39,$15.00,$65.85,$30.00,$7.00,$37.00,$102.85,$23.43,$8.43,"$6,767.95",$91.23,"$6,115.79",$652.16,60,$112.80,"$3,073.00",,,,,,,
8/9/2024,5,4.6,$15.00,$69.00,$44.00,$103.00,$147.00,$216.00,$46.96,$31.96,"$6,983.95",$203.82,"$6,319.61",$664.33,61,$114.49,"$3,220.00",$157.62,$225.00,$382.62,,,,
8/12/2024,1,4.06,$15.00,$60.90,$24.00,$17.00,$41.00,$101.90,$25.10,$10.10,"$7,085.85",$91.15,"$6,410.76",$675.08,62,$114.29,"$3,261.00",,,,,,,
8/13/2024,2,4.06,$15.00,$60.90,$29.00,$20.00,$49.00,$109.90,$27.07,$12.07,"$7,195.75",$99.15,"$6,509.92",$685.83,63,$114.22,"$3,310.00",,,,,,,
8/14/2024,3,4.1,$15.00,$61.50,$31.00,$25.00,$56.00,$117.50,$28.66,$13.66,"$7,313.25",$106.65,"$6,616.56",$696.69,64,$114.27,"$3,366.00",,,,,,,
8/19/2024,1,4.07,$15.00,$61.05,$38.00,$46.00,$84.00,$145.05,$35.64,$20.64,"$7,458.30",$134.27,"$6,750.84",$707.46,65,$114.74,"$3,450.00",,,,,,,
8/20/2024,2,3.99,$15.00,$59.85,$20.00,$24.00,$44.00,$103.85,$26.03,$11.03,"$7,562.15",$93.29,"$6,844.12",$718.03,66,$114.58,"$3,494.00",,,,,,,
